region,country,state_province,city,address,full_address,location,latitude,longitude
Africa,Morocco,,Casablanca - Casanearshore,"Casablanca Nearshore ParkBuilding Shore 5, 2ème étage, Casablanca","Casablanca Nearshore ParkBuilding Shore 5, 2ème étage, Casablanca, Casablanca - Casanearshore, Morocco",,,
Africa,Morocco,,Fès Shore Park,"Route de Sidi Harazem, Fès","Route de Sidi Harazem, Fès, Fès Shore Park, Morocco",,,
Africa,Morocco,,Bâtiment Shore 3,"TechnopolisSala El Jadida, Rabat","TechnopolisSala El Jadida, Rabat, Bâtiment Shore 3, Morocco",,,
Asia Pacific,Australia,Australian Capital Territory,Canberra,"Tenancy 604, Level 65 Farrell Place, Canberra, 2601","Tenancy 604, Level 65 Farrell Place, Canberra, 2601, Canberra, Australia",,,
Asia Pacific,Australia,New South Wales,Suite G.03,"166 Epping Road,, Lane Cove West, 2066","166 Epping Road,, Lane Cove West, 2066, Suite G.03, Australia",,,
Asia Pacific,Australia,New South Wales,North Sydney,"Suite 15.02, Level 15,100 Pacific Highway,, North Sydney, 2060","Suite 15.02, Level 15,100 Pacific Highway,, North Sydney, 2060, North Sydney, Australia",,,
Asia Pacific,Australia,Queensland,Level 6 (Reception),"Riverside Centre123 Eagle Street, Brisbane, 4000","Riverside Centre123 Eagle Street, Brisbane, 4000, Level 6 (Reception), Australia",,,
Asia Pacific,Australia,South Australia,Adelaide,"Lot Fourteencorner of North Terrace and, Frome Rd, Adelaide, 5000","Lot Fourteencorner of North Terrace and, Frome Rd, Adelaide, 5000, Adelaide, Australia",,,
Asia Pacific,Australia,Tasmania,"Level 6, Reserve Bank Building,","111 Macquarie Street, Hobart, 7000","111 Macquarie Street, Hobart, 7000, Level 6, Reserve Bank Building,, Australia",,,
Asia Pacific,Australia,Victoria,Suite 18.01,"Level 18, 40 City Road, Southbank, 3006","Level 18, 40 City Road, Southbank, 3006, Suite 18.01, Australia",,,
Asia Pacific,India,Karnataka,Divyasree Technopolis,"124,125, Yemlur P.O.Off old Airport Road, Bangalore, 560037","124,125, Yemlur P.O.Off old Airport Road, Bangalore, 560037, Divyasree Technopolis, India",,,
Asia Pacific,India,Karnataka,E-City,"Tower 2, #95/1 & 95/2Electronic City Phase 1 (West), Bangalore, 560100","Tower 2, #95/1 & 95/2Electronic City Phase 1 (West), Bangalore, 560100, E-City, India",,,
Asia Pacific,India,Karnataka,Cyber Park,"Plot No. 76 & 77, Electronic City, Phase 1(west), Bangalore, 560100","Plot No. 76 & 77, Electronic City, Phase 1(west), Bangalore, 560100, Cyber Park, India",,,
Asia Pacific,India,Maharashtra,Andheri Kurla Road,"Plot No. 22, SEEPZAndheri (East), Mumbai, 400096","Plot No. 22, SEEPZAndheri (East), Mumbai, 400096, Andheri Kurla Road, India",,,
Asia Pacific,India,Maharashtra,CGI ISMC Pvt Ltd,"8th floor, Smartworks Co-working Spaces Private Limited Survey number AP81, 83, North Main road,  Koregoan Park Annexe,  Mundhwa, Pune, 411001","8th floor, Smartworks Co-working Spaces Private Limited Survey number AP81, 83, North Main road,  Koregoan Park Annexe,  Mundhwa, Pune, 411001, CGI ISMC Pvt Ltd, India",,,
Asia Pacific,India,Tamil Nadu,DLF IT Park,"3rd floor, 5th Block, 1/124, Shivaji Gardens,, Chennai, 600089","3rd floor, 5th Block, 1/124, Shivaji Gardens,, Chennai, 600089, DLF IT Park, India",,,
Asia Pacific,India,Telangana,CGI ISMC Pvt Ltd,"15th floor, North wing & South wing part, Skyview 20,  Sy.no. 83/1, Raidurgam,, Hyderabad, 500018","15th floor, North wing & South wing part, Skyview 20,  Sy.no. 83/1, Raidurgam,, Hyderabad, 500018, CGI ISMC Pvt Ltd, India",,,
Asia Pacific,India,Telangana,DLF - Cyber City,"2nd floor, Part of Ground & 6th floor, Block 3Part of 3rd floor, Block 2, Plot no 129/132, APHB Colony, Gachibowli Village, Serilingampally Mandal, Ranga reddy Dist, Hyderabad, 500032","2nd floor, Part of Ground & 6th floor, Block 3Part of 3rd floor, Block 2, Plot no 129/132, APHB Colony, Gachibowli Village, Serilingampally Mandal, Ranga reddy Dist, Hyderabad, 500032, DLF - Cyber City, India",,,
Asia Pacific,Malaysia,,Kuala Lumpur - Avenue 7,"Avenue 7 Bangsar South City No. 8 Jalan KerinchiLevel 5, Menara PNS Tower 7, Kuala Lumpur, 59200","Avenue 7 Bangsar South City No. 8 Jalan KerinchiLevel 5, Menara PNS Tower 7, Kuala Lumpur, 59200, Kuala Lumpur - Avenue 7, Malaysia",,,
Asia Pacific,Philippines,Metro Manila,Ortigas: Robinsons Cyberscape Alpha,"Sapphire and Garnet Roads,Ortigas Center, Pasig City, 1605","Sapphire and Garnet Roads,Ortigas Center, Pasig City, 1605, Ortigas: Robinsons Cyberscape Alpha, Philippines",,,
Asia Pacific,Philippines,Metro Manila,Taguig City: One World Square,"10 Upper McKinley Road, McKinley Hill2/F One World Square, Taguig City, 1634","10 Upper McKinley Road, McKinley Hill2/F One World Square, Taguig City, 1634, Taguig City: One World Square, Philippines",,,
Europe,Belgium,,Brussels,"Airport Plaza Building C KyotoLeonardo Da Vincilaan 19C bus 6, Diegem, 1831","Airport Plaza Building C KyotoLeonardo Da Vincilaan 19C bus 6, Diegem, 1831, Brussels, Belgium",,,
Europe,Czechia,,Brno,"Londýnské nám. 853/1, Brno, 639 00","Londýnské nám. 853/1, Brno, 639 00, Brno, Czechia","853/1, Londýnské náměstí, Brno Business Park, Štýřice, Brno, okres Brno-město, Jihomoravský kraj, Jihovýchod, 639 00, Česko",49.1717766,16.5980518
Europe,Czechia,,OSTRAVA,"28. října 3348/65Moravská Ostrava, OSTRAVA, 702 00","28. října 3348/65Moravská Ostrava, OSTRAVA, 702 00, OSTRAVA, Czechia",,,
Europe,Czechia,,PRAHA,"Laurinova 2800/4Praha-Stodůlky, PRAHA, 155 00","Laurinova 2800/4Praha-Stodůlky, PRAHA, 155 00, PRAHA, Czechia",,,
Europe,Denmark,,Aarhus - Tranbjerg J,"Sletvej 30, Aarhus, 8310","Sletvej 30, Aarhus, 8310, Aarhus - Tranbjerg J, Denmark","30, Sletvej, Slet, Rosenhøj, Aarhus, Aarhus Kommune, Region Midtjylland, 8310, Danmark",56.107904,10.139459
Europe,Denmark,,Ballerup,"Lautrupvang 4B, Ballerup, 2750","Lautrupvang 4B, Ballerup, 2750, Ballerup, Denmark","4B, Lautrupvang, Sømose Hegn, Lautrupgård, Ballerup, Ballerup Kommune, Region Hovedstaden, 2750, Danmark",55.730634,12.391405
Europe,Denmark,,Aalborg - Nørresundby,"Strømmen 6, Nørresundby, 9400","Strømmen 6, Nørresundby, 9400, Aalborg - Nørresundby, Denmark","6, Strømmen, Nørre Uttrup, Aalborg, Aalborg Kommune, Region Nordjylland, 9400, Danmark",57.086202,9.958058
Europe,Estonia,,Tallinn -A. H. Tammsaare tee,"A. H. Tammsaare tee 56, Tallinn, 11316","A. H. Tammsaare tee 56, Tallinn, 11316, Tallinn -A. H. Tammsaare tee, Estonia",,,
Europe,Estonia,,Tartu - Sõbra,"Sõbra 54, Tartu, 50106","Sõbra 54, Tartu, 50106, Tartu - Sõbra, Estonia",,,
Europe,Finland,,Espoo,"Revontulenkuja 1, Espoo, 02100","Revontulenkuja 1, Espoo, 02100, Espoo, Finland","Tapiolan Hohka, 1, Revontulenkuja, Revontuli, Tapiolan keskus, Tapiola, Suur-Tapiola, Espoo, Helsingin seutukunta, Uusimaa, Manner-Suomi, 02100, Suomi / Finland",60.1705309,24.8033678
Europe,Finland,,Hämeenlinna,"Vankanlähde 7, Hämeenlinna, 13100","Vankanlähde 7, Hämeenlinna, 13100, Hämeenlinna, Finland","Innopark 1, 7, Vankanlähde, Visamäki, Kankaantausta, Hämeenlinna, Hämeenlinnan seutukunta, Kanta-Häme, Manner-Suomi, 13100, Suomi / Finland",60.9760394,24.4783404
Europe,Finland,,Helsinki - Karvaamokuja,"Karvaamokuja 2PL 38, Helsinki, 00381","Karvaamokuja 2PL 38, Helsinki, 00381, Helsinki - Karvaamokuja, Finland",,,
Europe,Finland,,Helsinki - Päijänteentie,"Päijänteentie 14 A, Helsinki, 00380","Päijänteentie 14 A, Helsinki, 00380, Helsinki - Päijänteentie, Finland",,,
Europe,Finland,,Joensuu,"Länsikatu 15PL 321, Joensuu, 80110","Länsikatu 15PL 321, Joensuu, 80110, Joensuu, Finland",,,
Europe,Finland,,Jyväskylä,"Ohjelmakaari 10, Jyväskylä, 40500","Ohjelmakaari 10, Jyväskylä, 40500, Jyväskylä, Finland","10, Ohjelmakaari, Ylistönmäki, Ristonmaa, Kuokkala, Jyväskylä, Jyväskylän seutukunta, Keski-Suomi, Manner-Suomi, 40500, Suomi / Finland",62.2273669,25.7438014
Europe,Finland,,Kuopio,"Microkatu 1PL 1199, Kuopio, 70211","Microkatu 1PL 1199, Kuopio, 70211, Kuopio, Finland",,,
Europe,Finland,,Lahti,"Askonkatu 9 G, Lahti, 15100","Askonkatu 9 G, Lahti, 15100, Lahti, Finland","Askonkatu, Keski-Lahti, Lahti, Lahden seutukunta, Päijät-Häme, Manner-Suomi, 15100, Suomi / Finland",60.9768754,25.664209
Europe,Finland,,Lappeenranta,"Kauppakatu 40 D, Lappeenranta, 53100","Kauppakatu 40 D, Lappeenranta, 53100, Lappeenranta, Finland","Kauppakatu, Kiviharju, Tykki-Kiviharju, Lappeenranta, Lappeenrannan seutukunta, Etelä-Karjala, Manner-Suomi, 53100, Suomi / Finland",61.0547136,28.189953
Europe,Finland,,Oulu,"Elektroniikkatie 6, Oulu, 90590","Elektroniikkatie 6, Oulu, 90590, Oulu, Finland","6, Elektroniikkatie, Linnanmaa, Kaijonharju, Oulu, Oulun seutukunta, Pohjois-Pohjanmaa, Manner-Suomi, 90590, Suomi / Finland",65.0593603,25.4409678
Europe,Finland,,Tampere,"Peltokatu 34 B, Tampere, 33100","Peltokatu 34 B, Tampere, 33100, Tampere, Finland","GO21, 34, Peltokatu, Tammela, Tammela B, Keskustan suuralue, Tampere, Tampereen seutukunta, Pirkanmaa, Manner-Suomi, 33100, Suomi / Finland",61.5011171,23.7749458
Europe,Finland,,Turku,"Joukahaisenkatu 1, Turku, 20520","Joukahaisenkatu 1, Turku, 20520, Turku, Finland","Eurocity, 1, Joukahaisenkatu, Tiedepuisto, Kupittaa, Keskusta, Turku, Turun seutukunta, Varsinais-Suomi, Manner-Suomi, 20520, Suomi / Finland",60.4499259,22.2942748
Europe,France,,Immeuble le Quartz,"125 Avenue Galillée, Aix-en-Provence, 13100","125 Avenue Galillée, Aix-en-Provence, 13100, Immeuble le Quartz, France",,,
Europe,France,,Immeuble Oxygène,"80 rue de la Vallée, Amiens, 80000","80 rue de la Vallée, Amiens, 80000, Immeuble Oxygène, France",,,
Europe,France,,Avignon,"212 Boulevard Pierre Boulle, Avignon, 84000","212 Boulevard Pierre Boulle, Avignon, 84000, Avignon, France","Boulevard Pierre Boulle, Quartier Ouest, Avignon, Vaucluse, Provence-Alpes-Côte d'Azur, France métropolitaine, 84000, France",43.9251751,4.7876932
Europe,France,,Immeuble Andromède,"6 rue des comètesCS 10026, Le Haillan Cedex, Bordeaux, 33187","6 rue des comètesCS 10026, Le Haillan Cedex, Bordeaux, 33187, Immeuble Andromède, France",,,
Europe,France,,Immeuble Grand Large,"Quai de la Douane, Brest, 29200","Quai de la Douane, Brest, 29200, Immeuble Grand Large, France",,,
Europe,France,,Clermont Ferrand,"10 rue Eric de Cromières, Clermont Ferrand, 63000","10 rue Eric de Cromières, Clermont Ferrand, 63000, Clermont Ferrand, France","Rue Éric de Cromières, Parc Technologique de La Pardieu, Le Grand Beaulieu, Clermont-Ferrand, Puy-de-Dôme, Auvergne-Rhône-Alpes, France métropolitaine, 63000, France",45.7609459,3.1364751
Europe,France,,Colmar,"12 place du Capitaine Dreyfus, Colmar, 68000","12 place du Capitaine Dreyfus, Colmar, 68000, Colmar, France","Place du Capitaine Dreyfus, Colmar, Colmar-Ribeauvillé, Haut-Rhin, Grand Est, France métropolitaine, 68000, France",48.0752922,7.3445548
Europe,France,,Grenoble,"2 Rue Germaine Veyret-VernerÉchirolles, Grenoble, 38130","2 Rue Germaine Veyret-VernerÉchirolles, Grenoble, 38130, Grenoble, France",,,
Europe,France,,Le Mans,"4 avenue Georges Auric, Le Mans, 72100","4 avenue Georges Auric, Le Mans, 72100, Le Mans, France","Avenue Georges Auric, Zone industrielle de l'université, La Foresterie, Le Mans, Sarthe, Pays de la Loire, France métropolitaine, 72000, France",48.0145328,0.1517956
Europe,France,,"8, rue Anatole France","Cedex, Lille, 59043","Cedex, Lille, 59043, 8, rue Anatole France, France",,,
Europe,France,,Limoges,"19 rue Cruveilher, Limoges, 87000","19 rue Cruveilher, Limoges, 87000, Limoges, France",,,
Europe,France,,Lorient,"9 rue de KerhoasLarmor-Plage, Lorient, 56260","9 rue de KerhoasLarmor-Plage, Lorient, 56260, Lorient, France",,,
Europe,France,,Bâtiment Docksite,"47-49 rue des Docks, Lyon, 69336","47-49 rue des Docks, Lyon, 69336, Bâtiment Docksite, France",,,
Europe,France,,Montbeliard,"10 avenue Léon Blum, Montbeliard, 25200","10 avenue Léon Blum, Montbeliard, 25200, Montbeliard, France","Avenue Léon Blum, Petite Hollande Sud, Montbéliard, Doubs, Bourgogne-Franche-Comté, France métropolitaine, 25200, France",47.4961388,6.8028952
Europe,France,,Parc d'Activité Jean Mermoz Bâtiment B,"Avenue Marcel DassaultCastelnau-le-Lez, Montpellier, 34170","Avenue Marcel DassaultCastelnau-le-Lez, Montpellier, 34170, Parc d'Activité Jean Mermoz Bâtiment B, France",,,
Europe,France,,Nancy,"28 Boulevard Albert 1er, Nancy, 54000","28 Boulevard Albert 1er, Nancy, 54000, Nancy, France","28, Boulevard Albert 1er, Poincaré - Foch - Anatole France - Croix de Bourgogne, Nancy, Meurthe-et-Moselle, Grand Est, France métropolitaine, 54100, France",48.695315,6.1676339
Europe,France,,Nantes,"Forges de Batignolles13 – 15 rue de Ranzay, Nantes, 44300","Forges de Batignolles13 – 15 rue de Ranzay, Nantes, 44300, Nantes, France",,,
Europe,France,,Niort,"3 rue Thomas Portau, Niort, 79000","3 rue Thomas Portau, Niort, 79000, Niort, France","Fresh, 3, Rue Thomas Portau, Zone industrielle La Garenne, Saint-Florent, Niort, Deux-Sèvres, Nouvelle-Aquitaine, France métropolitaine, 79000, France",46.3069069,-0.484221
Europe,France,,Orléans,"6bis rue Jean Zay, Orléans, 45800","6bis rue Jean Zay, Orléans, 45800, Orléans, France","Rue Jean Zay, Clos de la Gerberie, Saint-Jean-de-Braye, Orléans, Loiret, Centre-Val de Loire, France métropolitaine, 45800, France",47.9119259,1.9773973
Europe,France,,Parc d'activités Pau Pyrénées Bâtiment H,"7 rue Faraday, Pau, 64320","7 rue Faraday, Pau, 64320, Parc d'activités Pau Pyrénées Bâtiment H, France",,,
Europe,France,,Paris - Carré Michelet,"Siège CGI en France10-12 cours michelet, Puteaux, 92800","Siège CGI en France10-12 cours michelet, Puteaux, 92800, Paris - Carré Michelet, France",,,
Europe,France,,Immeuble AERIS,"19 rue du chêne GermainCesson-Sévigné, Rennes, 35510","19 rue du chêne GermainCesson-Sévigné, Rennes, 35510, Immeuble AERIS, France",,,
Europe,France,,Saint-Avertin,"Immeuble Galaxie18 rue du Pont de l’Arche, Saint-Avertin, 37550","Immeuble Galaxie18 rue du Pont de l’Arche, Saint-Avertin, 37550, Saint-Avertin, France",,,
Europe,France,,Bâtiment Atlas B,"310 Chemin du VallonValbonne, Sophia-Antipolis, 06560","310 Chemin du VallonValbonne, Sophia-Antipolis, 06560, Bâtiment Atlas B, France",,,
Europe,France,,Strasbourg,"6 rue Eugénie BrazierIllkirch, Strasbourg, 67400","6 rue Eugénie BrazierIllkirch, Strasbourg, 67400, Strasbourg, France",,,
Europe,France,,Tarnos,"3 rue Hélène Boucher, Tarnos, 40220","3 rue Hélène Boucher, Tarnos, 40220, Tarnos, France","WebPlusUn, 3, Rue Hélène Boucher, Tarnos, Dax, Landes, Nouvelle-Aquitaine, France métropolitaine, 40220, France",43.5459915,-1.4923448
Europe,France,,Toulouse,"15 Avenue du Docteur Maurice Grynfogel, Toulouse, 31100","15 Avenue du Docteur Maurice Grynfogel, Toulouse, 31100, Toulouse, France","CGI, 15, Avenue du Docteur Maurice Grynfogel, Lardenne, Lardenne / Pradettes / Basso-Cambo, Toulouse, Haute-Garonne, Occitanie, France métropolitaine, 31100, France",43.5790865,1.3678312
Europe,France,,Tours,"27 rue James Watt, Tours, 37000","27 rue James Watt, Tours, 37000, Tours, France","Rue James Watt, Les Deux Lions, Tours, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37000, France",47.3674619,0.6809435
Europe,Germany,,Aalen,"Südlicher Stadtgraben 11, Aalen, 73430","Südlicher Stadtgraben 11, Aalen, 73430, Aalen, Germany","11, Südlicher Stadtgraben, Oststadt, Aalen, Verwaltungsgemeinschaft Aalen, Ostalbkreis, Baden-Württemberg, 73430, Deutschland",48.8365765,10.0946416
Europe,Germany,,Alsfeld,"Ludwigsplatz 1, Alsfeld, 36304","Ludwigsplatz 1, Alsfeld, 36304, Alsfeld, Germany","Medienzentrum Altes Postamt, 1, Ludwigsplatz, Alsfeld, Vogelsbergkreis, Hessen, 36304, Deutschland",50.7529442,9.2700744
Europe,Germany,,Ansbach,"Bahnhofstraße 2, Ansbach, 91522","Bahnhofstraße 2, Ansbach, 91522, Ansbach, Germany","2, Bahnhofstraße, Gewerbegebiet Bahnhofstraße, Kammerforst, Ansbach, Bayern, 91522, Deutschland",49.2991677,10.579618
Europe,Germany,,Berlin,"Wallstraße 16,, Berlin, 10179","Wallstraße 16,, Berlin, 10179, Berlin, Germany","16, Wallstraße, Nikolaiviertel, Neu-Cölln, Mitte, Berlin, 10179, Deutschland",52.5112107,13.4064446
Europe,Germany,,Bielefeld,"Wilhelmstraße 3, Bielefeld, 33602","Wilhelmstraße 3, Bielefeld, 33602, Bielefeld, Germany","Tourist-Information Bielefeld, 3, Wilhelmstraße, Mitte, Bielefeld, Nordrhein-Westfalen, 33602, Deutschland",52.0238462,8.5347812
Europe,Germany,,Bochum,"Alte Wittener Straße 56, Bochum, 44803","Alte Wittener Straße 56, Bochum, 44803, Bochum, Germany","SPACE 51°7, 56, Alte Wittener Straße, Laer, Bochum-Ost, Bochum, Nordrhein-Westfalen, 44803, Deutschland",51.4677528,7.2728823
Europe,Germany,,Braunschweig,"Hintern Brüdern 23, Braunschweig, 38100","Hintern Brüdern 23, Braunschweig, 38100, Braunschweig, Germany","Stadthaus Petri, 23, Hintern Brüdern, Mitte, Braunschweig, Niedersachsen, 38100, Deutschland",52.2661682,10.5173809
Europe,Germany,,Bremen,"KranhausHoerneckestraße 39, Bremen, 28217","KranhausHoerneckestraße 39, Bremen, 28217, Bremen, Germany",,,
Europe,Germany,,Darmstadt,"Mornewegstraße 30, Darmstadt, 64293","Mornewegstraße 30, Darmstadt, 64293, Darmstadt, Germany","30, Mornewegstraße, Mornewegviertel, Darmstadt-Nord, Darmstadt, Hessen, 64293, Deutschland",49.8726747,8.6349297
Europe,Germany,,Dresden,"Washingtonstraße 16, Dresden, 01139","Washingtonstraße 16, Dresden, 01139, Dresden, Germany","16, Washingtonstraße, MiKa-Quartier, Mickten, Übigau, Pieschen, Dresden, Sachsen, 01139, Deutschland",51.0758533,13.6894319
Europe,Germany,,Düsseldorf,"Heesenstraße 31, Düsseldorf, 40549","Heesenstraße 31, Düsseldorf, 40549, Düsseldorf, Germany","OASIS 31, 31, Heesenstraße, Heerdt, Stadtbezirk 4, Düsseldorf, Nordrhein-Westfalen, 40549, Deutschland",51.2297928,6.7141715
Europe,Germany,,Erfurt,"Bahnhofstraße 38, Erfurt, 99084","Bahnhofstraße 38, Erfurt, 99084, Erfurt, Germany","CGI, 38, Bahnhofstraße, Altstadt, Erfurt, Thüringen, 99084, Deutschland",50.9743328,11.0350749
Europe,Germany,,Erlangen,"Stoke-on-Trent-Straße 1, Erlangen, 91058","Stoke-on-Trent-Straße 1, Erlangen, 91058, Erlangen, Germany","Brucklyn Hall, 1, Stoke-on-Trent-Straße, Bruck, Erlangen, Bayern, 91058, Deutschland",49.5688631,10.992339
Europe,Germany,,Eschborn,"Frankfurter Straße 102-110, Eschborn, 65760","Frankfurter Straße 102-110, Eschborn, 65760, Eschborn, Germany","Frankfurter Straße, Eschborn, Main-Taunus-Kreis, Hessen, 65760, Deutschland",50.1322641,8.5643917
Europe,Germany,,Hamburg,"Millerntorplatz 1, Hamburg, 20359","Millerntorplatz 1, Hamburg, 20359, Hamburg, Germany","1, Millerntorplatz, St. Pauli, Hamburg-Mitte, Hamburg, 20359, Deutschland",53.5505606,9.9686519
Europe,Germany,,Hannover,"Goseriede 4, Hannover, 30159","Goseriede 4, Hannover, 30159, Hannover, Germany","Tiedthof, 4, Goseriede, Altstadt, Mitte, Hannover, Region Hannover, Niedersachsen, 30159, Deutschland",52.3775081,9.7333162
Europe,Germany,,Kaiserslautern,"Europaallee 33, Kaiserslautern, 67657","Europaallee 33, Kaiserslautern, 67657, Kaiserslautern, Germany","33, Europaallee, Europahöhe, Kaiserslautern, Rheinland-Pfalz, 67657, Deutschland",49.4536304,7.81577
Europe,Germany,,Karlsruhe,"CGI Innovation LabHardtstraße 37A Bau 2, Karlsruhe, 76185","CGI Innovation LabHardtstraße 37A Bau 2, Karlsruhe, 76185, Karlsruhe, Germany",,,
Europe,Germany,,Kassel,"Karthäuserstraße 8, Kassel, 34177","Karthäuserstraße 8, Kassel, 34177, Kassel, Germany","8, Karthäuserstraße, Mitte, Kassel, Hessen, 34117, Deutschland",51.3141219,9.4858757
