region,country,state_province,city,address,full_address,location,latitude,longitude
Europe,United Kingdom,Wales,Cardiff,"5th Floor, The Tramshed,One Central Square,, Cardiff, CF10 1FS","5th Floor, The Tramshed,One Central Square,, Cardiff, CF10 1FS, Cardiff, United Kingdom",,,
Europe,United Kingdom,Wales,Swansea,"Tramshed Tech156 High Street, Swansea, SA1 1NE","Tramshed Tech156 High Street, Swansea, SA1 1NE, Swansea, United Kingdom",,,
Europe,United Kingdom,West Midlands,Cubo Birmingham,"2 Chamberlain Square, Birmingham, B3 3AX","2 Chamberlain Square, Birmingham, B3 3AX, Cubo Birmingham, United Kingdom",,,
Europe,United Kingdom,Wiltshire,Chippenham,"Methuen Park, Wiltshire, SN14 0GB","Methuen Park, Wiltshire, SN14 0GB, Chippenham, United Kingdom","Methuen Park, Chippenham, Wiltshire, England, United Kingdom",51.4467922,-2.1435719
Europe,United Kingdom,"Yorkshire, West Riding",Leeds,"1 Whitehall Quay, Leeds, LS1 4HR","1 Whitehall Quay, Leeds, LS1 4HR, Leeds, United Kingdom","1 Whitehall Quay, 1, Whitehall Quay, Holbeck Urban Village, Holbeck, Leeds, West Yorkshire, England, LS1 4HR, United Kingdom",53.7953632,-1.5508162
The Americas,Canada,Alberta,Calgary,"444 - 7th Avenue SWSuite 500, Calgary, T2P 0X8","444 - 7th Avenue SWSuite 500, Calgary, T2P 0X8, Calgary, Canada",,,
The Americas,Canada,Alberta,Edmonton,"10303 Jasper AvenueSuite 800, Edmonton, T5J 3N6","10303 Jasper AvenueSuite 800, Edmonton, T5J 3N6, Edmonton, Canada",,,
The Americas,Canada,British Columbia,Vancouver,"375 Water Street, Vancouver, V6B 1A1","375 Water Street, Vancouver, V6B 1A1, Vancouver, Canada","MoMo Sushi, 375, Water Street, Gastown, Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, V6B 5C6, Canada",49.2847089,-123.110228
The Americas,Canada,British Columbia,Vancouver,"375 Water Street, Suite 250,, Vancouver, V6B 5C6","375 Water Street, Suite 250,, Vancouver, V6B 5C6, Vancouver, Canada",,,
The Americas,Canada,British Columbia,Victoria,"1175 Douglas St.6th Floor, Victoria, V8W 2E1","1175 Douglas St.6th Floor, Victoria, V8W 2E1, Victoria, Canada",,,
The Americas,Canada,Manitoba,Manitoba,"317 Donald Street-Suite 200, Winnipeg, R3B 2H6","317 Donald Street-Suite 200, Winnipeg, R3B 2H6, Manitoba, Canada",,,
The Americas,Canada,New Brunswick,Fredericton,"30 Knowledge Park DriveSuite 300, Fredericton, E3C 2R2","30 Knowledge Park DriveSuite 300, Fredericton, E3C 2R2, Fredericton, Canada",,,
The Americas,Canada,New Brunswick,Moncton,"12 Millennium BlvdSuite 210, Moncton, E1C 0M3","12 Millennium BlvdSuite 210, Moncton, E1C 0M3, Moncton, Canada",,,
The Americas,Canada,Newfoundland and Labrador,Newfoundland,"277-281 Water Street-Mezzanine Level, St-John's NFLD, A1C 6L3","277-281 Water Street-Mezzanine Level, St-John's NFLD, A1C 6L3, Newfoundland, Canada",,,
The Americas,Canada,Nova Scotia,Halifax,"7071 Bayers RoadSuite 1007, Halifax, B3L 2C2","7071 Bayers RoadSuite 1007, Halifax, B3L 2C2, Halifax, Canada",,,
The Americas,Canada,Ontario,Markham,"150 Commerce Valley Drive WestSuite 300, Markham, L3T 7Z3","150 Commerce Valley Drive WestSuite 300, Markham, L3T 7Z3, Markham, Canada",,,
The Americas,Canada,Ontario,Mississauga,"7025 Langer DriveSuite 115, Mississauga, L5N 0E8","7025 Langer DriveSuite 115, Mississauga, L5N 0E8, Mississauga, Canada",,,
The Americas,Canada,Ontario,Mississauga,"6820 Century Ave, Mississauga, L5N 2V8","6820 Century Ave, Mississauga, L5N 2V8, Mississauga, Canada","CGI, 6820, Century Avenue, Mississauga, Peel Region, Golden Horseshoe, Ontario, L5N 5Z2, Canada",43.601366,-79.7462167
The Americas,Canada,Ontario,Ottawa,"55 Metcalfe StreetSuite 250, Ottawa, K1P 6L5","55 Metcalfe StreetSuite 250, Ottawa, K1P 6L5, Ottawa, Canada",,,
The Americas,Canada,Ontario,Toronto,"250 Yonge StreetSuite 2000, Toronto, M5B 2L7","250 Yonge StreetSuite 2000, Toronto, M5B 2L7, Toronto, Canada",,,
The Americas,Canada,Prince Edward Island,Stratford,"24 Stratford Road, Stratford, C1B 1T5","24 Stratford Road, Stratford, C1B 1T5, Stratford, Canada","24, Stratford Road, Southport, Stratford, Town of Stratford, Queens County, Prince Edward Island, C1B 1T5, Canada",46.227661,-63.101705
The Americas,Canada,Quebec,Drummondville,"1506 Jean-Berchmans-Michaud Street, Drummondville, J2C 2Z5","1506 Jean-Berchmans-Michaud Street, Drummondville, J2C 2Z5, Drummondville, Canada",,,
The Americas,Canada,Quebec,Gatineau,"85 Bellehumeur StreetSuite 260, Gatineau, J8T 1P8","85 Bellehumeur StreetSuite 260, Gatineau, J8T 1P8, Gatineau, Canada",,,
The Americas,Canada,Quebec,Montréal - Crémazie,"1611 Crémazie Blvd East2nd Floor, Montréal, H2M 2P2","1611 Crémazie Blvd East2nd Floor, Montréal, H2M 2P2, Montréal - Crémazie, Canada",,,
The Americas,Canada,Quebec,Montréal - Head office,"1350 René-Lévesque Blvd West20th floor, Montréal, H3G 1T4","1350 René-Lévesque Blvd West20th floor, Montréal, H3G 1T4, Montréal - Head office, Canada",,,
The Americas,Canada,Quebec,Montréal,"3200, Rue Dickson, Montréal, H1N 2K1","3200, Rue Dickson, Montréal, H1N 2K1, Montréal, Canada","3200, Rue Dickson, Mercier-Ouest, Mercier, Mercier–Hochelaga-Maisonneuve, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1N 1A5, Canada",45.572415,-73.5474913
The Americas,Canada,Quebec,Québec,"410 Charest Blvd EastSuite 700, Québec, G1K 8G3","410 Charest Blvd EastSuite 700, Québec, G1K 8G3, Québec, Canada",,,
The Americas,Canada,Quebec,Saguenay,"930 Jacques-Cartier St. East3rd Floor, Saguenay, G7H 7K9","930 Jacques-Cartier St. East3rd Floor, Saguenay, G7H 7K9, Saguenay, Canada",,,
The Americas,Canada,Quebec,Shawinigan,"444, 5th de la Pointe Street,, Shawinigan, G9N 1E6","444, 5th de la Pointe Street,, Shawinigan, G9N 1E6, Shawinigan, Canada",,,
The Americas,Canada,Quebec,Sherbrooke,"101 Abénaquis street, Sherbrooke, J1H 1H1","101 Abénaquis street, Sherbrooke, J1H 1H1, Sherbrooke, Canada",,,
The Americas,Canada,Saskatchewan,Regina,"1900, Albert Street5th floor, Regina, S4P 4K8","1900, Albert Street5th floor, Regina, S4P 4K8, Regina, Canada",,,
The Americas,Colombia,Distrito Capital de Bogotá,Bogotá,"Avenida Calle 26 #59-41, Office 505Cemsa Torre CCI Building 5, Bogotá, 111321","Avenida Calle 26 #59-41, Office 505Cemsa Torre CCI Building 5, Bogotá, 111321, Bogotá, Colombia",,,
The Americas,Mexico,Ciudad de México,Ciudad de México,"Boulevard Manuel Ávila Camacho N184 - Piso 8 - Colonia Reforma Social, Ciudad de México, 11650","Boulevard Manuel Ávila Camacho N184 - Piso 8 - Colonia Reforma Social, Ciudad de México, 11650, Ciudad de México, Mexico",,,
The Americas,United States,Alabama,Birmingham,"1900 International Park DriveSuite 400, Birmingham, 35243","1900 International Park DriveSuite 400, Birmingham, 35243, Birmingham, United States",,,
The Americas,United States,Alabama,Huntsville,"4000 Market Street, Huntsville, 35808","4000 Market Street, Huntsville, 35808, Huntsville, United States","Market Street Southwest, Redstone Gateway, Huntsville, Madison County, Alabama, 35809, United States",34.6987272,-86.6736064
The Americas,United States,Alabama,Mobile,"775 N. University BoulevardSuite 250, Mobile, 36608","775 N. University BoulevardSuite 250, Mobile, 36608, Mobile, United States",,,
The Americas,United States,Alabama,Troy,"140 University Park, Troy, 36081","140 University Park, Troy, 36081, Troy, United States",,,
The Americas,United States,Alaska,Juneau,"175 South Franklin StreetSuite 305, Juneau, 99801","175 South Franklin StreetSuite 305, Juneau, 99801, Juneau, United States",,,
The Americas,United States,Arizona,Tucson,"7333 E Rosewood ST, Tucson, 85710","7333 E Rosewood ST, Tucson, 85710, Tucson, United States","7333, East Rosewood Street, Broadway Northeast, Tucson, Pima County, Arizona, 85710, United States",32.2327227,-110.8368068
The Americas,United States,Arkansas,Hot Springs,"191 Office Park DR, Hot Springs, 71913","191 Office Park DR, Hot Springs, 71913, Hot Springs, United States",,,
The Americas,United States,California,Los Angeles,"350 South Grand AvenueSuite 3570, Los Angeles, 90071","350 South Grand AvenueSuite 3570, Los Angeles, 90071, Los Angeles, United States",,,
The Americas,United States,California,Sacramento,"400 Capitol MallSuite 1500, Sacramento, 95814","400 Capitol MallSuite 1500, Sacramento, 95814, Sacramento, United States",,,
The Americas,United States,California,San Diego,"2878 Camino Del Rio SouthSuite 500, San Diego, 92108","2878 Camino Del Rio SouthSuite 500, San Diego, 92108, San Diego, United States",,,
The Americas,United States,California,San Francisco,"345 California StreetSuite 600 & 700, San Francisco, 94104","345 California StreetSuite 600 & 700, San Francisco, 94104, San Francisco, United States",,,
The Americas,United States,California,Walnut Creek,"1550 Parkside DriveSuite 150, Walnut Creek, 94596","1550 Parkside DriveSuite 150, Walnut Creek, 94596, Walnut Creek, United States",,,
The Americas,United States,Colorado,Greenwood Village,"5575 DTC ParkwaySuite 135, Greenwood Village, 80111","5575 DTC ParkwaySuite 135, Greenwood Village, 80111, Greenwood Village, United States",,,
The Americas,United States,Connecticut,Hartford,"One American Row, Suite 403, Hartford, 06102-5056","One American Row, Suite 403, Hartford, 06102-5056, Hartford, United States",,,
The Americas,United States,Florida,Jacksonville,"1250 Imeson Park Blvd.Suite 504, Jacksonville, 32218","1250 Imeson Park Blvd.Suite 504, Jacksonville, 32218, Jacksonville, United States",,,
The Americas,United States,Florida,Miami Lakes,"8100 Oak LaneSuite 301, Miami Lakes, 33016","8100 Oak LaneSuite 301, Miami Lakes, 33016, Miami Lakes, United States",,,
The Americas,United States,Florida,Orange Park,"85 Industrial Loop N, Orange Park, 32073","85 Industrial Loop N, Orange Park, 32073, Orange Park, United States",,,
The Americas,United States,Florida,Tampa,"4300 West CypressSuite 300, Tampa, 33607","4300 West CypressSuite 300, Tampa, 33607, Tampa, United States",,,
The Americas,United States,Georgia,Atlanta,"945 East Paces Ferry RoadSuite 2600, Atlanta, 30326","945 East Paces Ferry RoadSuite 2600, Atlanta, 30326, Atlanta, United States",,,
The Americas,United States,Hawaii,Honolulu,"715 South King StreetSuite 200, Honolulu, 96813","715 South King StreetSuite 200, Honolulu, 96813, Honolulu, United States",,,
The Americas,United States,Illinois,Chicago,"171 N AberdeenSuite 400, Chicago, 60607","171 N AberdeenSuite 400, Chicago, 60607, Chicago, United States",,,
The Americas,United States,Illinois,Chicago,"1 Tower Ln, Suite 200, Oakbrook Terrace, 60181","1 Tower Ln, Suite 200, Oakbrook Terrace, 60181, Chicago, United States",,,
The Americas,United States,Kentucky,Frankfort,"229 West Main StreetSuite 204, Frankfort, 40601","229 West Main StreetSuite 204, Frankfort, 40601, Frankfort, United States",,,
The Americas,United States,Louisiana,Lafayette,"102 Versailles Boulevard, Lafayette, 70501","102 Versailles Boulevard, Lafayette, 70501, Lafayette, United States","102, Versailles Boulevard, Lafayette, Lafayette Parish, Louisiana, 70501, United States",30.225122,-92.0234734
The Americas,United States,Louisiana,Lafayette,"538 Cajundome Boulevard, Lafayette, 70506","538 Cajundome Boulevard, Lafayette, 70506, Lafayette, United States","Cajundome Boulevard, Lafayette, Lafayette Parish, Louisiana, 70598, United States",30.223318,-92.0446435
The Americas,United States,Maryland,Baltimore,"3120 Lord Baltimore Drive, Baltimore, 21244","3120 Lord Baltimore Drive, Baltimore, 21244, Baltimore, United States","3120, Lord Baltimore Drive, Liberty Gardens Apartments, Milford Mill, Baltimore County, Maryland, 21244, United States",39.3418789,-76.7511093
The Americas,United States,Massachusetts,Boston,"100 Summer StreetSuite 1600, Boston, 02110","100 Summer StreetSuite 1600, Boston, 02110, Boston, United States",,,
The Americas,United States,Massachusetts,Burlington,"78 Blanchard RoadSuite 300, Burlington, 01803","78 Blanchard RoadSuite 300, Burlington, 01803, Burlington, United States",,,
The Americas,United States,Minnesota,Minneapolis,"8500 Normandale Lake BlvdSuite 1400, Bloomington, 55437","8500 Normandale Lake BlvdSuite 1400, Bloomington, 55437, Minneapolis, United States",,,
The Americas,United States,Missouri,St. Louis,"3 Cityplace Drive, 11th Floor, Creve Coeur, 63141","3 Cityplace Drive, 11th Floor, Creve Coeur, 63141, St. Louis, United States",,,
The Americas,United States,Nevada,Henderson,"303 Water StreetSuite 200, Henderson, 89015","303 Water StreetSuite 200, Henderson, 89015, Henderson, United States",,,
The Americas,United States,Nevada,Reno,"1 East Liberty StreetSuite 601, Reno, 89501","1 East Liberty StreetSuite 601, Reno, 89501, Reno, United States",,,
The Americas,United States,New Jersey,New Brunswick,"120 Albany Street7th Floor, New Brunswick, 08901","120 Albany Street7th Floor, New Brunswick, 08901, New Brunswick, United States",,,
The Americas,United States,New York,Albany,"3 Lear Jet LaneSuite 205, Latham, 12110","3 Lear Jet LaneSuite 205, Latham, 12110, Albany, United States",,,
The Americas,United States,New York,New York,"33 Whitehall Street15th Floor, New York, 10004","33 Whitehall Street15th Floor, New York, 10004, New York, United States",,,
The Americas,United States,New York,New York,"80 Broad Street, 5th FloorSuite 503, New York, 10004","80 Broad Street, 5th FloorSuite 503, New York, 10004, New York, United States",,,
The Americas,United States,New York,New York,"115 BroadwaySuite 1501, New York, 10006","115 BroadwaySuite 1501, New York, 10006, New York, United States",,,
The Americas,United States,North Carolina,Raleigh,"5000 CentreGreen Way, Suite 175, Cary, 27513","5000 CentreGreen Way, Suite 175, Cary, 27513, Raleigh, United States",,,
The Americas,United States,North Carolina,Charlotte,"3426 Toringdon WaySuite 405, Charlotte, 28277-3496","3426 Toringdon WaySuite 405, Charlotte, 28277-3496, Charlotte, United States",,,
The Americas,United States,Ohio,Cleveland,"1100 Superior Avenue EastSuite 200, Cleveland, 44114","1100 Superior Avenue EastSuite 200, Cleveland, 44114, Cleveland, United States",,,
The Americas,United States,Ohio,Columbus,"107 South High StreetSuite 200, Columbus, 43215","107 South High StreetSuite 200, Columbus, 43215, Columbus, United States",,,
The Americas,United States,Ohio,Cleveland,"17406 Royalton RdSuite A 102, Strongsville, 44136","17406 Royalton RdSuite A 102, Strongsville, 44136, Cleveland, United States",,,
The Americas,United States,Ohio,Columbus,"570 Polaris ParkwaySuite 200, Westerville, 43082","570 Polaris ParkwaySuite 200, Westerville, 43082, Columbus, United States",,,
The Americas,United States,Oklahoma,Lawton,"3120 NW Atlanta Ave, Lawton, 73505","3120 NW Atlanta Ave, Lawton, 73505, Lawton, United States","3120, Northwest Atlanta Avenue, Lawton, Comanche County, Oklahoma, 73505, United States",34.625263,-98.4320098
The Americas,United States,Pennsylvania,Pittsburgh,"611 William Penn PlaceSuite 1200, Pittsburgh, 15219","611 William Penn PlaceSuite 1200, Pittsburgh, 15219, Pittsburgh, United States",,,
The Americas,United States,Pennsylvania,Plymouth Meeting,"401 Plymouth RoadSuite 160, Plymouth Meeting, 19462","401 Plymouth RoadSuite 160, Plymouth Meeting, 19462, Plymouth Meeting, United States",,,
The Americas,United States,Puerto Rico,San Juan,"B7 Tabonuco StreetSuite 401, Guaynabo, 00968","B7 Tabonuco StreetSuite 401, Guaynabo, 00968, San Juan, United States",,,
The Americas,United States,South Carolina,Columbia,"250 Berryhill RoadSuite 205, Columbia, 29210","250 Berryhill RoadSuite 205, Columbia, 29210, Columbia, United States",,,
The Americas,United States,South Carolina,North Charleston,"1101 Remount RoadSuite 300, North Charleston, 29406","1101 Remount RoadSuite 300, North Charleston, 29406, North Charleston, United States",,,
The Americas,United States,Tennessee,Chattanooga,"1110 Market StreetSuite 418, Chattanooga, 37402","1110 Market StreetSuite 418, Chattanooga, 37402, Chattanooga, United States",,,
The Americas,United States,Tennessee,Franklin,"6640 Carothers PkwySuite 400, Franklin, 37067","6640 Carothers PkwySuite 400, Franklin, 37067, Franklin, United States",,,
The Americas,United States,Tennessee,"CGI Knoxville, Riverview Tower","900 S Gay StreetSuite 1000, Knoxville, 37902","900 S Gay StreetSuite 1000, Knoxville, 37902, CGI Knoxville, Riverview Tower, United States",,,
The Americas,United States,Tennessee,Nashville,"2630 Elm Hill PikeSuite 115, Nashville, 37214","2630 Elm Hill PikeSuite 115, Nashville, 37214, Nashville, United States",,,
The Americas,United States,Texas,Austin,"5113 Southwest ParkwaySuite 230, Austin, 78735","5113 Southwest ParkwaySuite 230, Austin, 78735, Austin, United States",,,
The Americas,United States,Texas,Austin,"2500 Bee Caves RoadBuilding III, Suite 100, Austin, 78746","2500 Bee Caves RoadBuilding III, Suite 100, Austin, 78746, Austin, United States",,,
The Americas,United States,Texas,Belton,"2100 Digby Drive, Belton, 76513","2100 Digby Drive, Belton, 76513, Belton, United States","2100, Digby Drive, Belton, Bell County, Texas, 76513, United States",31.053838,-97.489384
The Americas,United States,Texas,Dallas,"14800 Landmark BoulevardSuite 300, Dallas, 75254","14800 Landmark BoulevardSuite 300, Dallas, 75254, Dallas, United States",,,
The Americas,United States,Texas,Fort Worth,"801 Cherry StreetSuite 1155, Fort Worth, 76102","801 Cherry StreetSuite 1155, Fort Worth, 76102, Fort Worth, United States",,,
The Americas,United States,Texas,Houston,"3700 West Sam Houston Parkway SouthSuite 575, Houston, 77042","3700 West Sam Houston Parkway SouthSuite 575, Houston, 77042, Houston, United States",,,
The Americas,United States,Texas,San Antonio,"5555 Northwest ParkwaySuite 143, San Antonio, 78249","5555 Northwest ParkwaySuite 143, San Antonio, 78249, San Antonio, United States",,,
The Americas,United States,Utah,Lehi,"2701 North Thanksgiving WaySuite 100, Lehi, 84043","2701 North Thanksgiving WaySuite 100, Lehi, 84043, Lehi, United States",,,
The Americas,United States,Virginia,Arlington,"1000 North Glebe Road, Arlington, 22201","1000 North Glebe Road, Arlington, 22201, Arlington, United States","Ballston Center, 1000, North Glebe Road, Bluemont, Ballston, Arlington County, Virginia, 22201, United States",38.882369,-77.1167728
The Americas,United States,Virginia,Fairfax,"11325 Random Hills Road8th Floor, Fairfax, 22030","11325 Random Hills Road8th Floor, Fairfax, 22030, Fairfax, United States",,,
The Americas,United States,Virginia,Fairfax,"12601 Fair Lakes Circle, Fairfax, 22033","12601 Fair Lakes Circle, Fairfax, 22033, Fairfax, United States","12601 Parking Deck, 12601, Fair Lakes Circle, Fair Lakes, Fairfax County, Virginia, 22033, United States",38.8571042,-77.3818427
The Americas,United States,Virginia,Lebanon,"295 Technology Park Drive, Lebanon, 24266","295 Technology Park Drive, Lebanon, 24266, Lebanon, United States","CGI, 295, Technology Park Drive, Lebanon, Russell County, Virginia, 24266, United States",36.9044451,-82.074833
The Americas,United States,Virginia,Richmond,"1111 East Main StreetSuite 615, Richmond, 23219","1111 East Main StreetSuite 615, Richmond, 23219, Richmond, United States",,,
The Americas,United States,Washington,Bellevue,"500 108th Avenue NE,Suite 1100, Bellevue, 98004","500 108th Avenue NE,Suite 1100, Bellevue, 98004, Bellevue, United States",,,
The Americas,United States,Wisconsin,Madison,"25 West Main Street5th Floor, Madison, 53703","25 West Main Street5th Floor, Madison, 53703, Madison, United States",,,
The Americas,United States,Wisconsin,Wausau,"500 North 3rd StreetSuite 210, Wausau, 54403","500 North 3rd StreetSuite 210, Wausau, 54403, Wausau, United States",,,
